year,month,complaint_type_cal,sum,count
2021,5,Recycling Enforcement,24,24
2021,5,Sanitation Condition,355,394
2021,5,Sweeping Complaint,3,3
2021,5,Vacant Lot,3,9
2021,6,Derelict Bicycle,164,190
2021,6,Derelict Vehicles,3732,3761
2021,6,Dirty Conditions,4099,4548
2021,6,Graffiti,0,315
2021,6,Litter Basket Complaint,2,3
2021,6,Missed Collection,4778,4990
2021,6,Other,1,1
2021,6,Other Enforcement,97,109
2021,6,Overflowing Litter Baskets,2,2
2021,6,Recycling Enforcement,14,14
2021,6,Sanitation Condition,352,386
2021,6,Sweeping Complaint,1,1
2021,6,Vacant Lot,5,11
2021,7,Derelict Bicycle,177,207
2021,7,Derelict Vehicles,3963,4015
2021,7,Dirty Conditions,4051,4803
2021,7,Graffiti,0,365
2021,7,Litter Basket Complaint,3,3
2021,7,Missed Collection,5093,5937
2021,7,Other,1,21
2021,7,Other Enforcement,77,91
2021,7,Recycling Enforcement,11,14
2021,7,Sanitation Condition,352,388
2021,7,Sweeping Complaint,1,1
2021,7,Vacant Lot,10,16
2021,8,Derelict Bicycle,128,147
2021,8,Derelict Vehicles,3892,3987
2021,8,Dirty Conditions,4873,5275
2021,8,Graffiti,0,856
2021,8,Litter Basket Complaint,2,2
2021,8,Missed Collection,4427,4666
2021,8,Other,1,10
2021,8,Other Enforcement,95,111
2021,8,Overflowing Litter Baskets,5,5
2021,8,Recycling Enforcement,22,22
2021,8,Sanitation Condition,268,294
2021,8,Vacant Lot,4,18
2021,9,Dead Animal,144,257
2021,9,Derelict Bicycle,68,88
2021,9,Derelict Vehicles,4059,4164
2021,9,Dirty Conditions,4219,5288
2021,9,Graffiti,0,750
2021,9,Illegal Dumping,239,581
2021,9,Litter Basket Complaint,68,187
2021,9,Missed Collection,4971,5991
2021,9,Obstruction,98,233
2021,9,Other,3130,3381
2021,9,Other Enforcement,47,51
2021,9,Recycling Enforcement,20,20
2021,9,Residential Disposal Complaint,145,218
2021,9,Sanitation Condition,110,122
2021,9,snow,1,1
2021,9,Sweeping Complaint,20,107
2021,9,Vacant Lot,2,7
2021,10,Dead Animal,825,1109
2021,10,Derelict Vehicles,3907,4213
2021,10,Dirty Conditions,3400,5013
2021,10,Graffiti,0,495
2021,10,Illegal Dumping,994,1924
2021,10,Litter Basket Complaint,307,659
2021,10,Missed Collection,12361,19922
2021,10,Obstruction,315,608
2021,10,Other,530,1074
2021,10,Residential Disposal Complaint,627,872
2021,10,snow,1,1
2021,10,Sweeping Complaint,174,588
2021,11,Dead Animal,551,745
2021,11,Derelict Vehicles,3062,3342
2021,11,Dirty Conditions,2592,3052
2021,11,Graffiti,0,637
2021,11,Illegal Dumping,1044,1860
2021,11,Litter Basket Complaint,124,291
2021,11,Missed Collection,3173,5884
2021,11,Obstruction,193,299
2021,11,Other,474,858
2021,11,Residential Disposal Complaint,535,621
2021,11,snow,7,11
2021,11,Sweeping Complaint,170,390
2021,12,Dead Animal,519,643
2021,12,Derelict Vehicles,3133,3336
2021,12,Dirty Conditions,2421,2782
2021,12,Graffiti,0,874
2021,12,Illegal Dumping,1264,1776
2021,12,Litter Basket Complaint,210,296
2021,12,Missed Collection,3640,5585
2021,12,Obstruction,461,560
2021,12,Other,421,808
2021,12,Residential Disposal Complaint,448,511
2021,12,snow,21,41
2021,12,Sweeping Complaint,200,423
2022,1,Dead Animal,450,552
2022,1,Derelict Vehicles,2920,3140
2022,1,Dirty Conditions,1938,2648
2022,1,Graffiti,0,749
2022,1,Illegal Dumping,1171,1552
2022,1,Litter Basket Complaint,155,295
2022,1,Missed Collection,1918,2929
2022,1,Obstruction,374,504
2022,1,Other,454,818
2022,1,Residential Disposal Complaint,398,507
2022,1,snow,3537,4120
2022,1,Sweeping Complaint,120,236
2022,2,Dead Animal,475,563
2022,2,Derelict Vehicles,3290,3447
2022,2,Dirty Conditions,2625,2962
2022,2,Graffiti,0,3862
2022,2,Illegal Dumping,1261,1577
2022,2,Litter Basket Complaint,204,365
2022,2,Missed Collection,1641,2396
2022,2,Obstruction,561,614
2022,2,Other,487,687
2022,2,Residential Disposal Complaint,454,505
2022,2,snow,985,1220
2022,2,Sweeping Complaint,144,337
2022,3,Dead Animal,646,717
2022,3,Derelict Vehicles,4201,4414
2022,3,Dirty Conditions,3067,3566
2022,3,Graffiti,0,1815
2022,3,Illegal Dumping,1764,2185
2022,3,Litter Basket Complaint,184,286
2022,3,Missed Collection,3618,4446
2022,3,Obstruction,712,787
2022,3,Other,648,937
2022,3,Residential Disposal Complaint,535,605
2022,3,snow,27,33
2022,3,Sweeping Complaint,336,601
2022,4,Dead Animal,584,764
2022,4,Derelict Vehicles,3750,3942
2022,4,Dirty Conditions,2710,3272
2022,4,Graffiti,0,698
2022,4,Illegal Dumping,1402,1906
2022,4,Litter Basket Complaint,205,338
2022,4,Missed Collection,2471,3998
2022,4,Obstruction,628,771
2022,4,Other,525,845
2022,4,Residential Disposal Complaint,552,662
2022,4,Sweeping Complaint,195,390
2022,5,Dead Animal,2,54
2022,5,Derelict Vehicles,95,223
2022,5,Dirty Conditions,34,176
2022,5,Graffiti,0,191
2022,5,Illegal Dumping,13,129
2022,5,Litter Basket Complaint,3,27
2022,5,Missed Collection,7,217
2022,5,Obstruction,10,45
2022,5,Other,1,55
2022,5,Residential Disposal Complaint,12,48
2022,5,Sweeping Complaint,0,5
